Num_line,S,MS,Cat,Num_cat,State,Display,null
508,368,955,Input,36.0,Off1A4,,
509,370,440,Exit,5.0,TimeOut,Time,
510,370,440,Entry,1.0,MagEntry,,
514,371,385,Input,1.0,On1A1,,
515,371,385,Exit,1.0,MagEntry,1,
516,371,385,Entry,2.0,ITI2sec,,
517,372,700,Input,33.0,Off1A1,,
518,373,390,Exit,2.0,ITI2sec,Time,
519,373,390,Entry,3.0,RandomHole,,
520,373,400,Exit,3.0,RandomHole,Time,
522,373,400,Entry,10.0,hole3,,
524,374,185,Input,4.0,On1A4,,
525,374,185,Exit,10.0,hole3,4,
526,374,185,Entry,17.0,CorrectResp,,
531,374,190,Exit,17.0,CorrectResp,Time,
532,374,190,Entry,1.0,MagEntry,,
536,375,175,Input,36.0,Off1A4,,
537,379,855,Input,1.0,On1A1,,
538,379,855,Exit,1.0,MagEntry,1,
539,379,855,Entry,2.0,ITI2sec,,
540,380,195,Input,33.0,Off1A1,,
541,381,860,Exit,2.0,ITI2sec,Time,
542,381,860,Entry,3.0,RandomHole,,
543,381,870,Exit,3.0,RandomHole,Time,
545,381,870,Entry,12.0,hole4,,
547,382,870,Exit,12.0,hole4,Time,
548,382,870,Entry,13.0,Holdhole4,,
549,382,895,Input,1.0,On1A1,,
550,383,235,Input,33.0,Off1A1,,
551,383,870,Exit,13.0,Holdhole4,Time,
552,383,870,Entry,16.0,Omission,,
555,383,880,Exit,16.0,Omission,Time,
556,383,880,Entry,5.0,TimeOut,,
557,384,85,Input,2.0,On1A2,,
558,384,85,Input,3.0,On1A3,,
559,385,75,Input,34.0,Off1A2,,
560,385,75,Input,35.0,Off1A3,,
561,388,885,Exit,5.0,TimeOut,Time,
562,388,885,Entry,1.0,MagEntry,,
566,390,735,Input,1.0,On1A1,,
567,390,735,Exit,1.0,MagEntry,1,
568,390,735,Entry,2.0,ITI2sec,,
569,391,725,Input,33.0,Off1A1,,
570,392,740,Exit,2.0,ITI2sec,Time,
571,392,740,Entry,3.0,RandomHole,,
572,392,750,Exit,3.0,RandomHole,Time,
574,392,750,Entry,14.0,hole5,,
576,393,405,Input,3.0,On1A3,,
577,393,405,Input,4.0,On1A4,,
578,393,405,Exit,14.0,hole5,4,
579,393,405,Entry,17.0,CorrectResp,,
584,393,410,Exit,17.0,CorrectResp,Time,
585,393,410,Entry,1.0,MagEntry,,
589,394,395,Input,35.0,Off1A3,,
590,394,395,Input,36.0,Off1A4,,
591,395,30,Input,3.0,On1A3,,
592,395,695,Input,35.0,Off1A3,,
593,398,60,Input,1.0,On1A1,,
594,398,60,Exit,1.0,MagEntry,1,
595,398,60,Entry,2.0,ITI2sec,,
596,398,725,Input,33.0,Off1A1,,
597,400,65,Exit,2.0,ITI2sec,Time,
598,400,65,Entry,3.0,RandomHole,,
599,400,75,Exit,3.0,RandomHole,Time,
601,400,75,Entry,12.0,hole4,,
603,400,595,Input,2.0,On1A2,,
604,400,595,Input,3.0,On1A3,,
605,400,595,Exit,12.0,hole4,3,
606,400,595,Entry,17.0,CorrectResp,,
